№	Категория	Производитель	Наименование	Характеристика	Штрих код																																																																																																																					
83	Мука	"ЗАО ""Алейскзернопродукт"""	Алейка	1 кг	4 606 273 002 756																																																																																																																					
84				3 кг	4 606 273 003 548																																																																																																																					
85				5 кг	4 606 273 002 428																																																																																																																					
86				5 кг пл	4 606 273 006 587																																																																																																																					
87				10 кг	4 606 273 000 066																																																																																																																					
88				2 кг	4 606 273 000 080																																																																																																																					
89	Шампанское (полусладкое)	"ООО ""Винный стиль"""	Премиум		4 650 065 100 052																																																																																																																					
90	Сгущеное молоко	"ОАО ""Белгородские молочные продукты"""	Волоконовское		4 606 599 002 263																																																																																																																					
91					4 606 599 003 833																																																																																																																					
92	Квас	" ПО ""Ундовский завод минеральной
воды ""Волжанка"""	Волжанка	1,5	4 601 342 001 715																																																																																																																					
93	Шоколад молочный	"ООО ""Кондитерская фабрика ""ПОБЕДА"""	Победа	25 г	4 607 005 405 081																																																																																																																					
94					4 607 005 408 136																																																																																																																					
95	Гречка	"ООО ""Круз"""	Чистая крупа	вар. Пакет	4 607 018 402 558																																																																																																																					
96					4 607 018 409 977																																																																																																																					
97	Шампанское полусладкое	"ООО ""Кубань - вино"""	Шато Тамань		4 607 062 862 896																																																																																																																					
98	Куры (тушки цыплят-бройлеров)	"ООО ""Лиско-бройлер"""	Куриное царство		2 541 718 020 716																																																																																																																					
99	Шоколад молочный	"ООО ""Собрание"""	SOBRANIE		4 670 016 470 652																																																																																																																					
100	Рис круглозерный	"ООО ""Мистраль Трейдинг"""	Мистраль 		4 601 916 000 496																																																																																																																					
101	Гречка	"ООО ""Мистраль Трейдинг"""	Мистраль 		4 601 916 002 698																																																																																																																					
102					4 601 916 006 450																																																																																																																					
103					4 601 916 006 436																																																																																																																					
104					4 601 916 000 502																																																																																																																					
105	Квас	"ЗАО ""Московский пиво-безалкогольный комбинат
 ""Очаково"""	Очаковский		4 359 068 009 293																																																																																																																					
106					4 600 068 000 316																																																																																																																					
107					4 600 068 033 222																																																																																																																					
108					4 600 068 019 554																																																																																																																					
109					4 600 068 027 559																																																																																																																					
110					4 600 068 009 883																																																																																																																					
111					4 600 068 009 043																																																																																																																					
112					4 600 068 000 699																																																																																																																					
113					4 600 068 009 005																																																																																																																					
114	Квас	"ЗАО ""Московский пиво-безалкогольный комбинат
 ""Очаково"""	Семейный секрет		4 600 068 035 387																																																																																																																					
115	Крупа гречневая	"АО ""Алтайская крупа"""	Гудвилл	0,4	4 607 120 230 650																																																																																																																					
116				800	4 607 120 230 933																																																																																																																					
117				1,5	4 607 120 232 555																																																																																																																					
118				3	4 607 120 234 214																																																																																																																					
119				5	4 607 120 234 207																																																																																																																					
120	Горошек консервированный	"ООО ""Круз"""	6 соток		4 607 035 890 024																																																																																																																					
121	Сушки	"АО ""Владимирский хлебокомбинат"""	Малышка простые		4 607 051 702 271																																																																																																																					
122	Горошек консервированный	"ООО ""Консервное предприятие Русское 
поле - Албаши"""	Дядя Ваня		4 607 002 990 184																																																																																																																					
123	Горошек консервированный	"ООО ""Петербургская продовольственная корпорация"""	Heinz		5 900 783 007 430																																																																																																																					
124	Горошек консервированный	"ООО ""Группа Грин Рэй"""	Грин Рэй		4 607 034 020 033																																																																																																																					
125	Крупа гречневая	"ООО фирма ""Торговый дом Ярмарка"""	Ярмарка		4 602 248 000 284																																																																																																																					
126	Крупа гречневая	"АО ""Торговый дом ""ПЕРЕКРЕСТОК"""	Маркет Перекресток		4 607 072 714 109																																																																																																																					
127	Горошек консервированный	"ООО ""Бондюэль-Кубань""
ООО ""Кубанские Консервы"""	Бондюэль		3 083 680 538 404																																																																																																																					
128	Горошек консервированный	"ООО ""Окей"""	Окей		4 607 078 330 723																																																																																																																					
129	Яйца столовые	"ООО ""Лента"""	Лента Омега -3		4 606 068 088 392																																																																																																																					
130	Шоколад молочный	"ЗАО ""КДВ Павловский Посад"""	Яшкино		4 690 329 005 402																																																																																																																					
131	Томаты	"ООО ""Тепличный комплекс Белогорье"""	Зеленая грядка		4 607 816 620 215																																																																																																																					
132	Масло подсолнечное рафинированное	"ООО ""Сельскохозяйственное производственное 
предприятие ""ЮГ """	Кубанское любимое	0,5	4 600 829 011 636																																																																																																																					
133	Масло подсолнечное рафинированное	"ООО ""Сельскохозяйственное производственное 
предприятие ""ЮГ """	Кубанское любимое	1	4 600 829 011 032																																																																																																																					
134	Масло подсолнечное рафинированное	"ООО ""Сельскохозяйственное производственное 
предприятие ""ЮГ """	Кубанское любимое	1,8	4 600 829 011 049																																																																																																																					
135	Масло подсолнечное нерафинированное	"ООО ""Сельскохозяйственное производственное 
предприятие ""ЮГ """	Кубанское любимое	1	4 600 829 011 018																																																																																																																					
136	Шампанское полусладкое	"ООО ""Агроторг"" "	Marleson		4 620 002 050 917																																																																																																																					
137	Квас	"ОАО по производству пива и 
безалкогольных напитков «Вятич»"	Вятский	0,5	4 607 004 631 467																																																																																																																					
138	Квас	"ООО ""Агроторг"" "	Русский квас	1 л	4 601 373 003 306																																																																																																																					
139	Квас	"АО ""Дека"""	Никола	2 л	4 601 373 001 586																																																																																																																					
140	Квас	"ЗАО ""МПК"""	Яхонт	2 л	4 670 001 495 035																																																																																																																					
141	Хлеб нарезной белый	"ОАО"" Вяземский ХК"""	Вязьма		4 607 106 200 134																																																																																																																					
142	Гречка	"ООО ""Метро Кеш энд Керри"""	Fine life		4 607 072 711 757																																																																																																																					
143	Гречка	"ООО ""Центральня крпяная"""	Греча		4 603 931 777 216																																																																																																																					
144	Тархун	"ООО ""Торговый дом ""Аскания"""	Ascania		4 630 001 590 024																																																																																																																					
145	Вода питьевая 	Кавминводы	Новотерская	5 л	4 601 557 000 107																																																																																																																					
146				0,33 л	4 601 557 000 466																																																																																																																					
147				0,5 л стекло	4 601 557 000 183																																																																																																																					
148				0,33 стекло	4 601 557 000 077																																																																																																																					
149				1,5 л	4 601 557 000 411																																																																																																																					
150				0,5 л	4 601 557 000 367																																																																																																																					
151				5 л упаковка	4 601 557 000 343																																																																																																																					
152				0,33 л упаковка	4 601 557 000 473																																																																																																																					
153				0,5 л упаковка	4 601 557 000 411																																																																																																																					
154				0, 5 стекло упаковка	46 015 570 003 981																																																																																																																					
155				0,33 стекло упаковка 	4 601 557 000 121																																																																																																																					
156				1,5 л упаковка	4 601 557 000 404																																																																																																																					
157				0,5 л упаковка	4 601 557 000 411																																																																																																																					
158	Вода питьевая 	Вода жизни АНО СПН	Простое добро	0,55 л	4 610 000 351 185																																																																																																																					
159	Морс клюквенный	Метро	Fine life	1 л	4 601 248 014 024																																																																																																																					
160	Хлеб нарезной белый	"АО ""Владимирский хлебокомбинат"""	Изделие булочное из муки пшеничной хлебопекарной высшего сорта батон пшеничный нарезной в упаковке «Золотой колобок»		4 620 021 160 369																																																																																																																					
161	Горошек консервированный	ООО «Лента»	Лента		4 606 068 151 652																																																																																																																					
162	Хлеб нарезной белый	"Волжский пекарь ЗАО
"	батон нарезной  в упаковке		4 603 793 000 149																																																																																																																					
163	Хлеб нарезной белый	ХЛЕБ ЗАО	батон нарезной  в упаковке		4 607 004 140 464																																																																																																																					
164	Хлеб нарезной белый	Хлебзавод № 22 ЗАО	батон нарезной  в упаковке		4 602 428 000 011																																																																																																																					
165	Хлеб нарезной белый	Хлебзавод № 22 ЗАО	нарезанный																																																																																																																							
166	Хлеб нарезной белый	ЗАО Щелковохлеб	Щелкосвкий		4 601 388 001 212																																																																																																																					
167	Хлеб нарезной белый	Хлебзавод № 22 ЗАО	нарезанная часть изделия в упаковке																																																																																																																							
168	Хлеб нарезной белый	Череповецхлеб																																																																																																																								
169	Хлеб нарезной белый	"АО ""Сочинский хлебокомбинат"""	батон нарезной в упаковке		4 607 152 380 019																																																																																																																					
170	Хлеб нарезной белый	"АО ""Анапский хлебокомбинат"""	батон нарезной в упаковке		4 607 119 700 980																																																																																																																					
171	Хлеб нарезной белый	"ООО ""Эльвира"""	Батоша		4 680 002 630 212																																																																																																																					
172	Морс клюквенный	X5	Global vilage		4,60125E+12																																																																																																																					
173	Морс клюквенный	"ООО ""Лента"""	Лента		4 606 068 145 712																																																																																																																					
174	Сосиски молочные	ООО Дымоское колбасное производство	Дымов		4 680 003 507 360																																																																																																																					
175	"Творог 9%    
"	АгриВолга	Углече поле																																																																																																																							
176	Вода питьевая 	ООО «Акваника» 	AQUANIKA		4 680 000 233 743																																																																																																																					
177	Морс клюквенный	ООО «Акваника» 	Иванов морс		4 680 000 231 404																																																																																																																					
178	Колбаса докторская	ООО «МПЗ Богородский»	Колбаса «Докторская» «Окраина»		4 607 162 200 444																																																																																																																					
179	Колбаса докторская	Томаровский мк	Докторская																																																																																																																							
180	Водка	АО «Пермалко»	«Пермская люкс»		460 057 700 210																																																																																																																					
181	Водка	ООО «Русский Север»	«Русский север» традиционная		4 620 008 990 538																																																																																																																					
182	Водка	ООО «ЛВЗ Саранский»	Водка «Солнечная деревенька»		4 601 823 004 235																																																																																																																					
183	Водка	ООО «Родник и К»	Водка «Хортиця» абсолютная		4 620 008 991 252																																																																																																																					
184	Водка	"ООО ""Русский Север"""	"Водка особая ""Первак домашний пшеничный"""		4 620 008 991 108																																																																																																																					
